id,prepost,value,privacy,complaints,assault,transparency,behavior
30,Pre,4,1,4,4,3,3
30,Post,4,1,4,3,3,3
8,Pre,4,1,4,1,4,4
8,Post,4,1,4,3,4,4
9,Pre,1,4,4,1,1,1
9,Post,2,4,2,1,2,1
14,Pre,3,1,4,1,3,4
14,Post,4,1,4,4,4,4
34,Pre,4,4,1,1,4,1
34,Post,4,3,4,1,4,2
16,Pre,4,2,1,1,4,1
16,Post,4,2,1,1,3,2
25,Pre,1,4,1,1,1,1
25,Post,2,4,2,2,2,2
6,Pre,4,2,3,1,3,1
6,Post,3,3,4,2,3,3
31,Pre,4,2,4,3,4,3
31,Post,4,1,4,3,4,4
20,Pre,4,4,4,1,2,1
20,Post,3,3,3,4,3,3
3,Pre,4,3,4,4,4,3
3,Post,3,3,3,3,3,3
19,Pre,4,4,1,1,3,2
19,Post,4,2,1,1,4,2
24,Pre,4,3,4,1,3,2
24,Post,4,2,4,2,4,2
4,Pre,4,4,4,4,4,4
4,Post,4,1,4,4,4,1
38,Pre,4,1,4,4,4,4
38,Post,4,3,4,4,4,4
29,Pre,4,1,4,4,4,4
29,Post,4,2,4,4,4,4
13,Pre,4,1,4,3,4,3
13,Post,4,1,4,3,3,3
1,Pre,2,4,2,1,2,2
1,Post,3,3,4,2,3,3
15,Pre,4,2,4,3,4,3
15,Post,4,3,4,3,3,4
18,Pre,3,4,1,1,2,1
18,Post,3,2,3,2,4,3
28,Pre,3,2,1,1,3,2
28,Post,3,2,2,1,2,1
5,Pre,3,2,3,1,3,1
5,Post,3,1,3,1,3,2
36,Pre,1,4,1,1,1,1
27,Pre,4,1,4,2,4,2
27,Post,4,2,3,3,3,3
7,Pre,3,2,3,1,3,3
7,Post,3,3,3,1,3,1
26,Pre,2,4,3,1,3,1
26,Post,3,4,4,4,3,4
22,Pre,4,4,3,3,3,1
22,Post,4,4,3,4,4,4
2,Pre,4,1,1,1,4,1
2,Post,4,1,1,1,4,1
39,Pre,4,1,1,1,3,4
39,Post,4,3,3,2,2,4
10,Pre,1,4,1,2,2,1
10,Post,4,4,4,4,4,4
33,Pre,4,3,4,1,3,3
33,Post,3,4,3,3,4,3
17,Post,2,4,3,2,3,3
37,Pre,4,1,4,1,4,1
37,Post,4,2,4,3,1,4
35,Pre,4,1,1,1,1,1
35,Post,4,1,4,3,3,4
12,Pre,4,4,3,3,2,2
12,Post,3,3,2,3,2,3
23,Pre,4,1,4,1,4,3
23,Post,4,1,3,2,3,2
21,Pre,3,3,2,1,3,1
21,Post,4,3,4,2,3,4
40,Pre,3,4,1,1,3,1
40,Post,4,3,4,3,4,4
11,Pre,4,3,4,1,3,1
11,Post,4,1,4,4,4,4
32,Pre,4,3,3,1,4,2
32,Post,2,2,4,1,4,4
